Title,Website,Phone Number,Category,Reviews,Rating,Longitude,Latitude,Facility Wifi,Facility Projector,Facility Food & Drink,Facility Whiteboard,Facility AV Equipment,Facility Stationeries,Harga,Kapasitas,Size Room,Address,Kabupaten,Review,Image,Review_preprocessed,clean stopword
GoWork Central Park - Coworking and Office Space,http://go-work.com,2150928959,Coworking space,119,4.9,106.7913133,-6.177408,Yes,Yes,No,Yes,No,No,130000,14,Small,Central Park Mall. Level LG. Unit L109-114. Jl. Letjen S. Parman. Daerah Khusus Ibukota Jakarta 11470,Jakarta Barat,"tempat dan fasilitas ruang kerja yang unik, beda banget vibesnya. Kerja jadi lebih asik, Lokasi startegis .coworking space dengan tempat yg cozy .internet stabil dan meeting room yang oke, Fasilitas dan fasilitasnya bagus, Anda dapat memiliki ruang pertemuan dan fasilitas lainnya seperti percetakan, empat yang sangat nyaman untuk bekerja. Lokasi sangat bagus. Dan, saya sangat menyukai desainnya, Ruang, suasana, dan layanan hebat untuk membangun sebuah startup. Saya dan tim saya sangat menikmati bekerja di sini! Banyak ruang bersama dengan berbagai desain untuk membantu kita fokus dan lebih kreatif. Terima kasih juga untuk semua staf yang membantu",https://www.centralparkjakarta.com/wp-content/uploads/2020/07/gowork-photo-1.jpg,tempat dan fasilitas ruang kerja yang unik beda banget vibes kerja jadi lebih asik lokasi startegis coworking space dengan tempat yg cozy internet stabil dan meeting room yang oke fasilitas dan fasilitas bagus anda dapat memiliki ruang pertemuan dan fasilitas lain seperti percetakan empat yang sangat nyaman untuk bekerja lokasi sangat bagus dan saya sangat menyukai desain ruang suasana dan layanan hebat untuk membangun sebuah startup saya dan tim saya sangat menikmati bekerja di sini banyak ruang bersama dengan berbagai desain untuk membantu kita fokus dan lebih kreatif terima kasih juga untuk semua staf yang membantu,fasilitas ruang unik beda banget vibes asik lokasi startegis coworking space yg cozy internet stabil meeting room oke fasilitas fasilitas bagus milik ruang temu fasilitas cetak nyaman lokasi bagus suka desain ruang suasana layan hebat bangun buah startup tim nikmat ruang desain bantu fokus kreatif terima kasih staf bantu
Le Aman Workspace,http://desty.page,81388141410,Coworking space,59,4.9,106.7992444,-6.2631786,Yes,Yes,Yes,No,No,No,375000,15,Medium,Duta Mas Fatmawati Blok D2. 9 -10. Jl. Fatmawati No.39. Jakarta. Daerah Khusus Ibukota Jakarta 12150,Jakarta Selatan,"Tempat nya nyaman, mudah dijangkau  dan akses yg mudah ke pusat kota karena dekat dengan stasiun MRT, dan yg satu lagi Free Coffee and Tea,  Tempatnya nyaman bngt buat fokus kerja, ngerjain project dan meeting, Sewa Ruang Meeting di hari Minggu, cocok banget. Ruang lega sehingga tidak berhimpitan 15 Peserta ok banget, Coworking space yg enak dan nyaman, Suasananya juga enak buat kerja, Harganya juga terjangkau dan banyak makanan yg enak di food court itc fatmawati, Tempat yang nyaman, mudah diakses karena ada di tengah kota",https://s3-ap-southeast-1.amazonaws.com/xwork-gallery/rooms/images/5931/1626075956.05/5931_1626075956.05.lg.JPEG,tempat nyaman mudah dijangkau dan akses yg mudah ke pusat kota karena dekat dengan stasiun mrt dan yg satu lagi free coffee and tea tempat nyaman bngt buat fokus kerja ngerjain project dan meeting sewa ruang meeting di hari minggu cocok banget ruang lega sehingga tidak berhimpitan peserta ok banget coworking space yg enak dan nyaman suasana juga enak buat kerja harga juga terjangkau dan banyak makanan yg enak di food court itc fatmawati tempat yang nyaman mudah diakses karena ada di tengah kota,nyaman mudah jangkau akses yg mudah pusat kota stasiun mrt yg free coffee and tea nyaman bngt fokus ngerjain project meeting sewa ruang meeting minggu cocok banget ruang lega berhimpitan ok banget coworking space yg nyaman suasana harga jangkau makan yg food court itc fatmawati nyaman mudah akses kota
CEO SUITE AXA Tower,http://ceosuite.com,2130053500,Business center,37,4.8,106.8292895,-6.2247829,Yes,Yes,No,No,Yes,Yes,200000,30,Medium,AXA Tower. 45th Floor. Jl. Prof. DR. Satrio No.Kav. 18. RT.14/RW.4. Kuningan. Kuningan City. Setiabudi. South Jakarta City. Jakarta 12940,Jakarta Selatan,"Tempat kantor terbaik di sekitar Kuningan. Staf mereka sangat profesional. 5 bintang dan layanan yang sangat baik, Saya suka pemandangan dari sudut kantor saya, salah satu yang terbaik di industri kantor layanan, Para karyawan memiliki etos kerja profesional dan ruangan kerja sangat elegan, saya harus mengatakan kantor ini memiliki suasana bintang 5, lounge yang nyaman, dan staf profesional dengan lokasi yang strategis, Tempat kantor terbaik di sekitar Kuningan. Staf mereka sangat profesional. 5 bintang dan layanan yang sangat baik",https://www.ceosuite.com/wp-content/uploads/2017/10/Jakarta-AXA-Tower-Boardroom-1.jpg?x19230,tempat kantor terbaik di sekitar kuningan staf mereka sangat profesional bintang dan layanan yang sangat baik saya suka pemandangan dari sudut kantor saya salah satu yang terbaik di industri kantor layanan para karyawan memiliki etos kerja profesional dan ruangan kerja sangat elegan saya harus mengatakan kantor ini memiliki suasana bintang lounge yang nyaman dan staf profesional dengan lokasi yang strategis tempat kantor terbaik di sekitar kuningan staf mereka sangat profesional bintang dan layanan yang sangat baik,kantor kuningan staf profesional bintang layan suka pandang sudut kantor salah industri kantor layan karyawan milik etos profesional ruang elegan kantor milik suasana bintang lounge nyaman staf profesional lokasi strategis kantor kuningan staf profesional bintang layan
Holiday Inn & Suites Jakarta Gajah Mada. an IHG Hotel,http://ihg.com,2129776800,Conference center,2282,4.7,106.8150859,-6.1452151,Yes,Yes,Yes,Yes,Yes,Yes,300000,30,Medium,Jl. Gajah Mada No.211. RT.14/RW.1. Glodok. Kec. Taman Sari. Kota Jakarta Barat. Daerah Khusus Ibukota Jakarta 11120,Jakarta Barat,"Ruang rapat besar dan bersih, jenis makanan di restonya banyak dan enak-enak. Banquet, teknisi, dan marketingnya juga fast respon kalo ada kebutuhan. Lokasi strategis walaupun jalan menuju ke sini bakalan banyak macetnya. Kamarnya luas dan bersih, ruang pertemuan juga representatif, Hotelnya bagus, ruang meeting besar, kamar nyaman dan luas, makanan enak dan banyak pilihan,Lokasi strategis, parkir luas, banyak pungli parkir di area parkir, parkir gampang, Parkiran dilarang cuci mobil, mudah minta free parking , parkir gabung dengan citywalk, Kelemahannya adalah di parkiran, tidak ada Free Valet untuk Tamu Hotel, atau seengaknya ada Parkir Khusus untuk Tamu Hotel. Parkiran di Gabung dengan Mall",https://cdn-5e8d3114f911ca0ca0d2b972.closte.com/wp-content/uploads/2020/05/Sunda-Kelapa.jpg,ruang rapat besar dan bersih jenis makanan di resto banyak dan enak enak banquet teknisi dan marketing juga fast respon kalo ada kebutuhan lokasi strategis walaupun jalan menuju ke sini bakalan banyak macet kamar luas dan bersih ruang pertemuan juga representatif hotel bagus ruang meeting besar kamar nyaman dan luas makanan enak dan banyak pilihan lokasi strategis parkir luas banyak pungli parkir di area parkir parkir gampang parkiran dilarang cuci mobil mudah minta free parking parkir gabung dengan citywalk kelemahan adalah di parkiran tidak ada free valet untuk tamu hotel atau seengak ada parkir khusus untuk tamu hotel parkiran di gabung dengan mall,ruang rapat bersih jenis makan resto banquet teknisi marketing fast respon kalo butuh lokasi strategis jalan macet kamar luas bersih ruang temu representatif hotel bagus ruang meeting kamar nyaman luas makan pilih lokasi strategis parkir luas pungli parkir area parkir parkir gampang parkir larang cuci mobil mudah free parking parkir gabung citywalk lemah parkir free valet tamu hotel seengak parkir tamu hotel parkir gabung mall
Graha Niaga Thamrin,https://www.osvas.com/,2121392280,Office space rental agency,871,4.4,106.815743,-6.197251,No,No,No,Yes,No,No,150000,20,Medium,Jl. K.H. Mas Mansyur No.2. RT.2/RW.8. Kb. Melati. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10230,Jakarta Pusat,"Tempat yang cukup stylish dan cozy. Bagus bagi perkembangan perusahan2 kecil, seperti StarUp2 yang baru mulai merintis usahanya. Gk punya kantor. Maka bisa memanfaatkan tempat ini untuk bekerja maupun meeting, Gedungnya fasilitas lengkap dan nyaman untuk meeting., Tempat yg cocok untuk meeting, Ada parkir sepeda dan harus lapor, dekat stasiun karet, parkiran ada basement dan diluar, Dari security hingga CS ramah.. Loading dock di samping gedung terlalu sempit banyak truk parkir, susah manuver parkir mundur.. biaya parkir 1 jam Rp. 5000,-, Buat yg mau masuk ke parkiran, jangan lupa sediain Flazz/e-money, bayar parkir gabisa pakai cash, Tolong untuk parkiran bagi petugas parkirnya di siap kan untuk kartu flazz nya, teruntuk pengendara yg tidak punya kartu flazz, komplek perkantoran dgn fasilitas parkir dan masjid yg luas",https://s3-ap-southeast-1.amazonaws.com/xwork-gallery/rooms/images/1676/1527041799.99/1676_1527041799.99.lg.JPEG,tempat yang cukup stylish dan cozy bagus bagi perkembangan perusahan kecil seperti starup yang baru mulai merintis usaha gk pu kantor maka bisa memanfaatkan tempat ini untuk bekerja maupun meeting gedung fasilitas lengkap dan nyaman untuk meeting tempat yg cocok untuk meeting ada parkir sepeda dan harus lapor dekat stasiun karet parkiran ada basement dan diluar dari security hingga cs ramah loading dock di samping gedung terlalu sempit banyak truk parkir susah manuver parkir mundur biaya parkir jam rp buat yg mau masuk ke parkiran jangan lupa sediain flazz e money bayar parkir gabisa pakai cash tolong untuk parkiran bagi petugas parkir di siap kan untuk kartu flazz teruntuk pengendara yg tidak pu kartu flazz komplek perkantoran dgn fasilitas parkir dan masjid yg luas,stylish cozy bagus kembang starup rintis usaha gk pu kantor manfaat meeting gedung fasilitas lengkap nyaman meeting yg cocok meeting parkir sepeda lapor stasiun karet parkir basement security cs ramah loading dock samping gedung sempit truk parkir susah manuver parkir mundur biaya parkir jam rp yg parkir lupa ain flazz money bayar parkir gabisa pakai cash tolong parkir tugas parkir kartu flazz kendara yg pu kartu flazz komplek kantor dgn fasilitas parkir masjid yg luas
Wyndham Casablanca Jakarta,http://wyndhamcasablancajakarta.com,218282000,Hotel,1798,4.6,106.8398614,-6.2245456,Yes,Yes,Yes,Yes,No,Yes,350000,50,Large,Jl. Raya Casablanca No.18. RT.4/RW.12. Menteng Dalam. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12870,Jakarta Selatan,"Lokasi strategis. Pelayanan ramah. Hanya saja sound system di meeting room nya kurang bagus, Sangat baik. Kamar bersih. meeting dengan kapasitas kurang dari 100 orang cukup banyak, Pelayanan ramah, parking area, restoran, kamar, ruang meeting dan keamanan yang baik, lokasi strategis di pusat kota dan dekat Cocas, asilitas parkir di basement sangat nyaman jika hujan, Kurangnya petugas yang standby di parkiran, sehingga banyak mobil yang parkir tidak sesuai pada tempatnya, Fasilitas parkir di basement sangat nyaman jika hujan. Akses parkir bisa menggunakan kartu flash/eMoney untuk buka tutup portalnya dan ini gratis asal didaftarkan di frontdesk, tiket parkir yang tertukar tidak jelas, Yang datang ke sini jangan lupa bawa uang elektronik (E-Toll) untuk bayar parkir. ( Mobil maupun Motor), Dan yang paling merepotkan adalah tempat parkirnya sangat dikit. Mobil saya harus mutar2 naik turun basemen buat cari tempat parkir. Yang ujung2nya malah parkir di luar, pelayanan sampai kamar baguss..parkir juga simple",https://pbs.twimg.com/media/EFIAOnrUYAAVNfs.jpg,lokasi strategis pelayanan ramah ha saja sound system di meeting room kurang bagus sangat baik kamar bersih meeting dengan kapasitas kurang dari orang cukup banyak pelayanan ramah parking area restoran kamar ruang meeting dan keamanan yang baik lokasi strategis di pusat kota dan dekat cocas asilitas parkir di basement sangat nyaman jika hujan kurang petugas yang standby di parkiran sehingga banyak mobil yang parkir tidak sesuai pada tempat fasilitas parkir di basement sangat nyaman jika hujan akses parkir bisa menggunakan kartu flash emoney untuk buka tutup portal dan ini gratis asal didaftarkan di frontdesk tiket parkir yang tertukar tidak jelas yang datang ke sini jangan lupa bawa uang elektronik e toll untuk bayar parkir mobil maupun motor dan yang paling merepotkan adalah tempat parkir sangat dikit mobil saya harus mutar naik turun basemen buat cari tempat parkir yang ujung malah parkir di luar pelayanan sampai kamar baguss parkir juga simple,lokasi strategis layan ramah ha sound system meeting room bagus kamar bersih meeting kapasitas layan ramah parking area restoran kamar ruang meeting aman lokasi strategis pusat kota cocas asilitas parkir basement nyaman hujan tugas standby parkir mobil parkir sesuai fasilitas parkir basement nyaman hujan akses parkir kartu flash emoney buka tutup portal gratis daftar frontdesk tiket parkir tukar lupa bawa uang elektronik toll bayar parkir mobil motor repot parkir dikit mobil mutar turun basemen cari parkir ujung parkir layan kamar baguss parkir simple
Balai Sidang Jakarta Convention Center,http://jcc.co.id,215726000,Convention center,36635,4.6,106.8072055,-6.2143089,Yes,Yes,Yes,No,Yes,Yes,520000,60,Large,Jl. Gatot Subroto No.1. RT.1/RW.3. Gelora. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10270,Jakarta Pusat,"Tersedia beberapa fasilitas ruang meeting yang luas dengan akses yang mudah, tersedia tempat parkir yang luas, fasilitas pendukung seperti mushola, toilet, dan fasilitas lainnya tersedia, Fasilitas terlengkap untuk keperluan meeting, promo dan kegiatan sejenis, Ruang meeting luas, prokes ketat, toilet bersih, food n snack enak dan variatif, Tempat yang cocok untuk menyelenggarakan MICE (Meeting Incentive Conventions & Exhibitions), untuk parkir mobil ada berada di depan gedung, dan untuk naik motor kita bisa parkir di quatic stadium tidak begitu  jauh dari JCC, Lokasi strategis berada di lingkungan GBK, parkir mobil dan motor luas, Kekurangannya : tempat parkir yang minim kerapihan serta tidak adanya area ramah anak seperti area bermain mereka, Tempat parkir cukup luas namun mungkin anda bisaendapat slot parkir yang agak jauh dari gedung apabila banhak pengunjung yang parkir",https://myvenue.id/wp-content/uploads/2020/09/JCC-8.jpg,tersedia beberapa fasilitas ruang meeting yang luas dengan akses yang mudah tersedia tempat parkir yang luas fasilitas pendukung seperti mushola toilet dan fasilitas lain tersedia fasilitas terlengkap untuk keperluan meeting promo dan kegiatan sejenis ruang meeting luas prokes ketat toilet bersih food n snack enak dan variatif tempat yang cocok untuk menyelenggarakan mice meeting incentive conventions exhibitions untuk parkir mobil ada berada di depan gedung dan untuk naik motor kita bisa parkir di quatic stadium tidak begitu jauh dari jcc lokasi strategis berada di lingkungan gbk parkir mobil dan motor luas kekurangan tempat parkir yang minim kerapihan serta tidak ada area ramah anak seperti area bermain mereka tempat parkir cukup luas namun mungkin anda bisaendapat slot parkir yang agak jauh dari gedung apabila banhak pengunjung yang parkir,sedia fasilitas ruang meeting luas akses mudah sedia parkir luas fasilitas dukung mushola toilet fasilitas sedia fasilitas lengkap meeting promo giat jenis ruang meeting luas prokes ketat toilet bersih food snack variatif cocok selenggara mice meeting incentive conventions exhibitions parkir mobil gedung motor parkir quatic stadium jcc lokasi strategis lingkung gbk parkir mobil motor luas parkir minim kerapihan area ramah anak area main parkir luas bisaendapat slot parkir gedung banhak unjung parkir
Backspace,http://lippomallpuri.com,2122582888,Coworking space,53,4.3,106.7386566,-6.1905963,Yes,Yes,Yes,No,No,No,250000,20,Medium,RP5Q+QF7. Jl. Puri Indah Raya. RT.3/RW.2. Kembangan Sel.. Kec. Kembangan. Kota Jakarta Barat. Daerah Khusus Ibukota Jakarta 11610,Jakarta Barat,"Nyaman Buat di pakaii Meeting,  Nice place for training, meeting, or just work alone,  A good place to held meeting in the shopping mall, Nyaman dan bersih, Tempatnya nyaman dengan harga yang wajar., tempatnya bagus, Bersih dan nyaman dengan suasana luar biasa, cukup mahal, Tempat yang bagus untuk bekerja, wifi membutuhkan perbaikan, Suasana yang sangat menyenangkan untuk bekerja dan acara, Tempat pertemuan yang bagus",https://s3-ap-southeast-1.amazonaws.com/xwork-gallery/rooms/images/1792/1524802695.08/1792_1524802695.08.lg.JPEG,nyaman buat di pakaii meeting nice place for training meeting or just work alone a good place to held meeting in the shopping mall nyaman dan bersih tempat nyaman dengan harga yang wajar tempat bagus bersih dan nyaman dengan suasana luar biasa cukup mahal tempat yang bagus untuk bekerja wifi membutuhkan perbaikan suasana yang sangat menyenangkan untuk bekerja dan acara tempat pertemuan yang bagus,nyaman pakai meeting nice place for training meeting or just work alone good place to held meeting in the shopping mall nyaman bersih nyaman harga wajar bagus bersih nyaman suasana mahal bagus wifi butuh suasana senang acara temu bagus
Redtop Hotel & Convention Center,http://redtophotel.com,213500077,Hotel,4759,4.4,106.8268504,-6.1635795,Yes,Yes,Yes,Yes,Yes,No,1200000,60,Large,Jl. Pecenongan No.72. RT.2/RW.4. Kb. Klp.. Kecamatan Gambir. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10120,Jakarta Pusat,"So far hotelnya nyaman, tersedia meeting room untuk kapasitas bervariasi. Makanannya enak. Recommended,  Lokasi strategis mudah ditemukan, parkir luas. Makanan enak dan bervariasi menunya. Ruang pertemuan yang luas. Kamar nyaman untuk berisitirahat. Hotel bergaya klasik,  cm parkir mobilnya aj yang kurang luas, Mungkin yang agak minus adalah akses ke tempat parkir basement yang harus muter dikit lewat tangga, Tempatnya nyaman, parkir luas, makan di restonya juga oke, lahan parkir memadai jumlahnya",https://d2ile4x3f22snf.cloudfront.net/wp-content/uploads/sites/29/2016/02/08065707/Jasper.jpg,so far hotel nyaman tersedia meeting room untuk kapasitas bervariasi makanan enak recommended lokasi strategis mudah ditemukan parkir luas makanan enak dan bervariasi menu ruang pertemuan yang luas kamar nyaman untuk berisitirahat hotel bergaya klasik cm parkir mobil aj yang kurang luas mungkin yang agak minus adalah akses ke tempat parkir basement yang harus muter dikit lewat tangga tempat nyaman parkir luas makan di resto juga oke lahan parkir memadai jumlah,so far hotel nyaman sedia meeting room kapasitas variasi makan recommended lokasi strategis mudah temu parkir luas makan variasi menu ruang temu luas kamar nyaman berisitirahat hotel gaya klasik cm parkir mobil aj luas minus akses parkir basement muter dikit tangga nyaman parkir luas makan resto oke lahan parkir
CEO SUITE Indonesia Stock Exchange,http://ceosuite.com,215157777,Business center,10,5.0,106.8086519,-6.2239292,Yes,Yes,Yes,No,No,No,200000,30,Medium,Jl. Jend. Sudirman Kav 52-53. 17th Floor Indonesia Stock Exchange. Tower 2 Jakarta. RT.10/RW.7. Senayan. Kebayoran Baru. South Jakarta City. Jakarta 12190,Jakarta Selatan,"Penyedia ruang kantor yang luar biasa, layanan ramah, pelayanan yang diberikan sangat baik dan mencakup semua segi untuk start up berbisnis, letak yang strategis, memudahkan untuk meeting point mengembangkan bisnis, Service office terbaik yg pernah saya kunjungi...selain tempatnya strategis,pelayanan dari stafnya juga sangat bagus, Design kantor yang bagus dengan pelayanan yang ramah, lengkap, serta cepat tanggap menjadikan CEO SUITE pilihan tepat bagi pebisnis seperti saya, pelayanan nya cepat, harga nya juga nggak mahal, dan kantor nya kerenn, Servis office yang saya kunjungi yg terbaik dan Bagus",https://www.ceosuite.com/wp-content/uploads/2017/10/jakarta-stock-exchange-boardroom-4.jpg?x19230,penyedia ruang kantor yang luar biasa layanan ramah pelayanan yang diberikan sangat baik dan mencakup semua segi untuk start up berbisnis letak yang strategis memudahkan untuk meeting point mengembangkan bisnis service office terbaik yg pernah saya kunjungi selain tempat strategis pelayanan dari staf juga sangat bagus design kantor yang bagus dengan pelayanan yang ramah lengkap serta cepat tanggap menjadikan ceo suite pilihan tepat bagi pebisnis seperti saya pelayanan cepat harga juga nggak mahal dan kantor kerenn servis office yang saya kunjungi yg terbaik dan bagus,sedia ruang kantor layan ramah layan cakup segi start up bisnis letak strategis mudah meeting point kembang bisnis service office yg kunjung strategis layan staf bagus design kantor bagus layan ramah lengkap cepat tanggap ceo suite pilih bisnis layan cepat harga nggak mahal kantor kerenn servis office kunjung yg bagus
GoWork Lippo Mall Kemang - Coworking and Office Space,http://go-work.com,2139707888,Coworking space,1,5.0,106.8126131,-6.262181,Yes,Yes,No,Yes,No,No,130000,10,Small,Marketing Gallery LMK. Kemang Village. GoWork. Jl. Pangeran Antasari No.36. Bangka. Kec. Mampang Prpt.. Daerah Khusus Ibukota Jakarta 12150,Jakarta Selatan,"Lahan parkir mobil dan motor ada,   Tempat yang cozy buat nongkrong, kerja dan juga meeting,  Bertempat di gedung yng lokasinya strategis, arsitektur dan interiornya modern, fun, artisti, simplicity dan elegan menjadikan GoWork Kemang 10 ini terasa mengasyikkan, lokasi mudah dijangkau, tempatnya nyaman dan bersih, stafnya ramah dan sangat membantu, menyenangkan. terima kasih, terasa seperti di rumah",https://kekantor.com/wp-content/uploads/2021/04/gowork-lippo-mall-kemang3-800x600.jpg,lahan parkir mobil dan motor ada tempat yang cozy buat nongkrong kerja dan juga meeting bertempat di gedung yng lokasi strategis arsitektur dan interior modern fun artisti simplicity dan elegan menjadikan gowork kemang ini terasa mengasyikkan lokasi mudah dijangkau tempat nyaman dan bersih staf ramah dan sangat membantu menyenangkan terima kasih terasa seperti di rumah,lahan parkir mobil motor cozy nongkrong meeting gedung yng lokasi strategis arsitektur interior modern fun artisti simplicity elegan gowork kemang asa asyik lokasi mudah jangkau nyaman bersih staf ramah bantu senang terima kasih asa rumah
CoHive 101 Mega Kuningan,http://cohive.space,2150820861,Coworking space,1052,4.6,106.8253118,-6.226179,Yes,Yes,No,No,No,No,99000,20,Medium,Kawasan. Jl. Mega Kuningan Barat No.1. RT.5/RW.2. Kuningan. Kuningan Tim.. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12950,Jakarta Selatan,"Murah , bersih, fasilitas lengkap..parkir luas, Tempatnya bersih, enak parkir & ada resto koi nya, okasi yang strategis, tempat yang nyaman, meskipun AC ruangannya terlalu dingin, Lokasi strategis dan sangat nyaman untuk meeting. Ditambah dengan staff CoHive yg juga sangat helpful, Kantor yang nyaman bersih dan bagus tapi sayang penjaga parkir apalagi yg perempuan TDK bersahabat dan terkesan sombong dan angkuh,saya baru sekali ke sana TDK ada kartu e money utk bayar parkir,tadi nya saya anggap sudah biasa pakai uang tunai, ternyata TDK bisa.lbh parah ya penjaga parkir TDK ada sopan santun ya untung saja dia perempuan kalau gak, Parkiran motor kacau balau, banyak emak-emak yang kerepotan mau masukin dan keluarin motor... mungkin karena parkir gratis jadi gak ada yang urus, Parkir motor karyawan murah, Tempatnya bersih, enak parkir & ada resto koi nya, Lokasi parkir Aman Dan Jangan lupa Emoney ya Nanti ga bs keluar, Ok...cuma parkir ny ribet g bisa cash",https://d38ycd57qom8aj.cloudfront.net/location/cohive-101/f639df20-4c9c-11e9-9dea-d5f8283a9770.JPG,murah bersih fasilitas lengkap parkir luas tempat bersih enak parkir ada resto koi okasi yang strategis tempat yang nyaman meskipun ac ruangan terlalu dingin lokasi strategis dan sangat nyaman untuk meeting ditambah dengan staff cohive yg juga sangat helpful kantor yang nyaman bersih dan bagus tapi sayang penjaga parkir apalagi yg perempuan tdk bersahabat dan terkesan sombong dan angkuh saya baru sekali ke sana tdk ada kartu e money utk bayar parkir tadi saya anggap sudah biasa pakai uang tunai ternyata tdk bisa lbh parah ya penjaga parkir tdk ada sopan santun ya untung saja dia perempuan kalau gak parkiran motor kacau balau banyak emak emak yang kerepotan mau masukin dan keluarin motor mungkin karena parkir gratis jadi gak ada yang urus parkir motor karyawan murah tempat bersih enak parkir ada resto koi lokasi parkir aman dan jangan lupa emoney ya nanti ga bs keluar ok cuma parkir ribet g bisa cash,murah bersih fasilitas lengkap parkir luas bersih parkir resto koi okasi strategis nyaman ac ruang dingin lokasi strategis nyaman meeting staff cohive yg helpful kantor nyaman bersih bagus sayang jaga parkir yg perempuan tdk sahabat kes sombong angkuh tdk kartu money utk bayar parkir anggap pakai uang tunai tdk lbh parah jaga parkir tdk sopan santun untung perempuan gak parkir motor kacau balau emak emak kerepot masukin keluarin motor parkir gratis gak urus parkir motor karyawan murah bersih parkir resto koi lokasi parkir aman lupa emoney ga bs ok parkir ribet cash
The Hermitage. a Tribute Portfolio Hotel. Jakarta,https://www.hermitagejakarta.com/id,2131926888,Meeting room,3660,4.6,106.8381196,-6.1983176,Yes,Yes,Yes,Yes,Yes,Yes,1375000,60,Large,Jl. Cilacap No.1. Menteng. Jakarta. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10310,Jakarta Pusat,"Makanan dan minuman yang disajikan sangat  berkelas dengan rasa yang mewah, Akses mudah buat meeting mudah meski parkir susah, Internet aman lancar, wifi cepat  Makanan enak.  Dan ruang meeting nyaman, Hotel yang bagus. Beberapa kali ke sini untuk meeting, kesannya bagus, keren, cuma parkir aja agak susah mesti titip kunci segala, parkir sempit, Utk area parkir lumayan cukup, ada di basement hotel dan ada akses langsung ke lobby pakai lift, parkir terbatas. apalagi lokasi dan parkir motornya sangat tidak friendly karena berada di ruang terbuka dan pinggir jalan raya, Cm susah parkir tp bs dibantu sm staff nya, cukup tinggalin kunci aja",https://73cc8915eb9cf66dad90-91c9e0dc61e2af367a83ca09fafb7723.ssl.cf1.rackcdn.com/u/function-2.jpg,makanan dan minuman yang disajikan sangat berkelas dengan rasa yang mewah akses mudah buat meeting mudah meski parkir susah internet aman lancar wifi cepat makanan enak dan ruang meeting nyaman hotel yang bagus beberapa kali ke sini untuk meeting kesan bagus keren cuma parkir aja agak susah mesti titip kunci segala parkir sempit utk area parkir lumayan cukup ada di basement hotel dan ada akses langsung ke lobby pakai lift parkir terbatas apalagi lokasi dan parkir motor sangat tidak friendly karena berada di ruang terbuka dan pinggir jalan raya cm susah parkir tp bs dibantu sm staff cukup tinggalin kunci aja,makan minum saji kelas mewah akses mudah meeting mudah parkir susah internet aman lancar wifi cepat makan ruang meeting nyaman hotel bagus meeting kesan bagus keren parkir aja susah mesti titip kunci parkir sempit utk area parkir lumayan basement hotel akses lobby pakai lift parkir batas lokasi parkir motor friendly ruang buka pinggir jalan raya cm susah parkir tp bs bantu sm staff tinggalin kunci aja
TierSpace,http://tier-space.com,2129126145,Coworking space,145,4.6,106.8135623,-6.2331823,No,Yes,Yes,Yes,No,No,95000,8,Small,Jl. Bakti No.10. RT.1/RW.6. Rw.4. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12180,Jakarta Selatan,"Tempat yg pas untuk meeting, suasana membuat nyaman, Tempat Meeting...simple smart and Nice place, Tempat yang nyaman untuk bekerja, meeting & bermain, Internetnya juga cepat & stabil, mereka juga ada harga khusus mahasiswa. Mantap pokoknya, Harganya terjangkau dan banyak promonya. Fasilitas juga lengkap bisa refill kopi, teh dan air putih. Ada area outdoor yang bisa kerja sambil ngerokok, deket dengan area kuliner",http://tier-space.com/wp-content/uploads/2017/08/meeting-room-for-8b1.jpg,tempat yg pas untuk meeting suasana membuat nyaman tempat meeting simple smart and nice place tempat yang nyaman untuk bekerja meeting bermain internet juga cepat stabil mereka juga ada harga khusus mahasiswa mantap pokok harga terjangkau dan banyak promo fasilitas juga lengkap bisa refill kopi teh dan air putih ada area outdoor yang bisa kerja sambil ngerokok deket dengan area kuliner,yg pas meeting suasana nyaman meeting simple smart and nice place nyaman meeting main internet cepat stabil harga mahasiswa mantap pokok harga jangkau promo fasilitas lengkap refill kopi teh air putih area outdoor ngerokok deket area kuliner
