Title,Website,Phone Number,Category,Reviews,Rating,Longitude,Latitude,Facility Wifi,Facility Projector,Facility Food & Drink,Facility Whiteboard,Facility AV Equipment,Facility Stationeries,Harga,Kapasitas,Size Room,Address,Kabupaten,Review,Image
GoWork Central Park - Coworking and Office Space,http://go-work.com,02150928959,Coworking space,119,4.9,106.7913133,-6.177408,Yes,Yes,No,Yes,No,No,130000,14,Small,Central Park Mall. Level LG. Unit L109-114. Jl. Letjen S. Parman. Daerah Khusus Ibukota Jakarta 11470,Jakarta Barat,"tempat dan fasilitas ruang kerja yang unik, beda banget vibesnya. Kerja jadi lebih asik, Lokasi startegis .coworking space dengan tempat yg cozy .internet stabil dan meeting room yang oke, Fasilitas dan fasilitasnya bagus, Anda dapat memiliki ruang pertemuan dan fasilitas lainnya seperti percetakan, empat yang sangat nyaman untuk bekerja. Lokasi sangat bagus. Dan, saya sangat menyukai desainnya, Ruang, suasana, dan layanan hebat untuk membangun sebuah startup. Saya dan tim saya sangat menikmati bekerja di sini! Banyak ruang bersama dengan berbagai desain untuk membantu kita fokus dan lebih kreatif. Terima kasih juga untuk semua staf yang membantu",11.jpg
Le Aman Workspace,http://desty.page,081388141410,Coworking space,59,4.9,106.7992444,-6.2631786,Yes,Yes,Yes,No,No,No,375000,15,Medium,Duta Mas Fatmawati Blok D2. 9 -10. Jl. Fatmawati No.39. Jakarta. Daerah Khusus Ibukota Jakarta 12150,Jakarta Selatan,"Tempat nya nyaman, mudah dijangkau  dan akses yg mudah ke pusat kota karena dekat dengan stasiun MRT, dan yg satu lagi Free Coffee and Tea,  Tempatnya nyaman bngt buat fokus kerja, ngerjain project dan meeting, Sewa Ruang Meeting di hari Minggu, cocok banget. Ruang lega sehingga tidak berhimpitan 15 Peserta ok banget, Coworking space yg enak dan nyaman, Suasananya juga enak buat kerja, Harganya juga terjangkau dan banyak makanan yg enak di food court itc fatmawati, Tempat yang nyaman, mudah diakses karena ada di tengah kota",12.jpg
CEO SUITE AXA Tower,http://ceosuite.com,02130053500,Business center,37,4.8,106.8292895,-6.2247829,Yes,Yes,No,No,Yes,Yes,200000,30,Medium,AXA Tower. 45th Floor. Jl. Prof. DR. Satrio No.Kav. 18. RT.14/RW.4. Kuningan. Kuningan City. Setiabudi. South Jakarta City. Jakarta 12940,Jakarta Selatan,"Tempat kantor terbaik di sekitar Kuningan. Staf mereka sangat profesional. 5 bintang dan layanan yang sangat baik, Saya suka pemandangan dari sudut kantor saya, salah satu yang terbaik di industri kantor layanan, Para karyawan memiliki etos kerja profesional dan ruangan kerja sangat elegan, saya harus mengatakan kantor ini memiliki suasana bintang 5, lounge yang nyaman, dan staf profesional dengan lokasi yang strategis, Tempat kantor terbaik di sekitar Kuningan. Staf mereka sangat profesional. 5 bintang dan layanan yang sangat baik",13.jpg
Holiday Inn & Suites Jakarta Gajah Mada. an IHG Hotel,http://ihg.com,02129776800,Conference center,2282,4.7,106.8150859,-6.1452151,Yes,Yes,Yes,Yes,Yes,Yes,300000,30,Medium,Jl. Gajah Mada No.211. RT.14/RW.1. Glodok. Kec. Taman Sari. Kota Jakarta Barat. Daerah Khusus Ibukota Jakarta 11120,Jakarta Barat,"Ruang rapat besar dan bersih, jenis makanan di restonya banyak dan enak-enak. Banquet, teknisi, dan marketingnya juga fast respon kalo ada kebutuhan. Lokasi strategis walaupun jalan menuju ke sini bakalan banyak macetnya. Kamarnya luas dan bersih, ruang pertemuan juga representatif, Hotelnya bagus, ruang meeting besar, kamar nyaman dan luas, makanan enak dan banyak pilihan,Lokasi strategis, parkir luas, banyak pungli parkir di area parkir, parkir gampang, Parkiran dilarang cuci mobil, mudah minta free parking , parkir gabung dengan citywalk, Kelemahannya adalah di parkiran, tidak ada Free Valet untuk Tamu Hotel, atau seengaknya ada Parkir Khusus untuk Tamu Hotel. Parkiran di Gabung dengan Mall",14.jpg
Graha Niaga Thamrin,https://www.osvas.com/,02121392280,Office space rental agency,871,4.4,106.815743,-6.197251,No,No,No,Yes,No,No,150000,20,Medium,Jl. K.H. Mas Mansyur No.2. RT.2/RW.8. Kb. Melati. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10230,Jakarta Pusat,"Tempat yang cukup stylish dan cozy. Bagus bagi perkembangan perusahan2 kecil, seperti StarUp2 yang baru mulai merintis usahanya. Gk punya kantor. Maka bisa memanfaatkan tempat ini untuk bekerja maupun meeting, Gedungnya fasilitas lengkap dan nyaman untuk meeting., Tempat yg cocok untuk meeting, Ada parkir sepeda dan harus lapor, dekat stasiun karet, parkiran ada basement dan diluar, Dari security hingga CS ramah.. Loading dock di samping gedung terlalu sempit banyak truk parkir, susah manuver parkir mundur.. biaya parkir 1 jam Rp. 5000,-, Buat yg mau masuk ke parkiran, jangan lupa sediain Flazz/e-money, bayar parkir gabisa pakai cash, Tolong untuk parkiran bagi petugas parkirnya di siap kan untuk kartu flazz nya, teruntuk pengendara yg tidak punya kartu flazz, komplek perkantoran dgn fasilitas parkir dan masjid yg luas",15.jpg
Wyndham Casablanca Jakarta,http://wyndhamcasablancajakarta.com,0218282000,Hotel,1798,4.6,106.8398614,-6.2245456,Yes,Yes,Yes,Yes,No,Yes,350000,50,Large,Jl. Raya Casablanca No.18. RT.4/RW.12. Menteng Dalam. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12870,Jakarta Selatan,"Lokasi strategis. Pelayanan ramah. Hanya saja sound system di meeting room nya kurang bagus, Sangat baik. Kamar bersih. meeting dengan kapasitas kurang dari 100 orang cukup banyak, Pelayanan ramah, parking area, restoran, kamar, ruang meeting dan keamanan yang baik, lokasi strategis di pusat kota dan dekat Cocas, asilitas parkir di basement sangat nyaman jika hujan, Kurangnya petugas yang standby di parkiran, sehingga banyak mobil yang parkir tidak sesuai pada tempatnya, Fasilitas parkir di basement sangat nyaman jika hujan. Akses parkir bisa menggunakan kartu flash/eMoney untuk buka tutup portalnya dan ini gratis asal didaftarkan di frontdesk, tiket parkir yang tertukar tidak jelas, Yang datang ke sini jangan lupa bawa uang elektronik (E-Toll) untuk bayar parkir. ( Mobil maupun Motor), Dan yang paling merepotkan adalah tempat parkirnya sangat dikit. Mobil saya harus mutar2 naik turun basemen buat cari tempat parkir. Yang ujung2nya malah parkir di luar, pelayanan sampai kamar baguss..parkir juga simple",16.jpg
Balai Sidang Jakarta Convention Center,http://jcc.co.id,0215726000,Convention center,36635,4.6,106.8072055,-6.2143089,Yes,Yes,Yes,No,Yes,Yes,520000,60,Large,Jl. Gatot Subroto No.1. RT.1/RW.3. Gelora. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10270,Jakarta Pusat,"Tersedia beberapa fasilitas ruang meeting yang luas dengan akses yang mudah, tersedia tempat parkir yang luas, fasilitas pendukung seperti mushola, toilet, dan fasilitas lainnya tersedia, Fasilitas terlengkap untuk keperluan meeting, promo dan kegiatan sejenis, Ruang meeting luas, prokes ketat, toilet bersih, food n snack enak dan variatif, Tempat yang cocok untuk menyelenggarakan MICE (Meeting Incentive Conventions & Exhibitions), untuk parkir mobil ada berada di depan gedung, dan untuk naik motor kita bisa parkir di quatic stadium tidak begitu  jauh dari JCC, Lokasi strategis berada di lingkungan GBK, parkir mobil dan motor luas, Kekurangannya : tempat parkir yang minim kerapihan serta tidak adanya area ramah anak seperti area bermain mereka, Tempat parkir cukup luas namun mungkin anda bisaendapat slot parkir yang agak jauh dari gedung apabila banhak pengunjung yang parkir",17.jpg
Backspace,http://lippomallpuri.com,02122582888,Coworking space,53,4.3,106.7386566,-6.1905963,Yes,Yes,Yes,No,No,No,250000,20,Medium,RP5Q+QF7. Jl. Puri Indah Raya. RT.3/RW.2. Kembangan Sel.. Kec. Kembangan. Kota Jakarta Barat. Daerah Khusus Ibukota Jakarta 11610,Jakarta Barat,"Nyaman Buat di pakaii Meeting,  Nice place for training, meeting, or just work alone,  A good place to held meeting in the shopping mall, Nyaman dan bersih, Tempatnya nyaman dengan harga yang wajar., tempatnya bagus, Bersih dan nyaman dengan suasana luar biasa, cukup mahal, Tempat yang bagus untuk bekerja, wifi membutuhkan perbaikan, Suasana yang sangat menyenangkan untuk bekerja dan acara, Tempat pertemuan yang bagus",18.jpg
Redtop Hotel & Convention Center,http://redtophotel.com,0213500077,Hotel,4759,4.4,106.8268504,-6.1635795,Yes,Yes,Yes,Yes,Yes,No,1200000,60,Large,Jl. Pecenongan No.72. RT.2/RW.4. Kb. Klp.. Kecamatan Gambir. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10120,Jakarta Pusat,"So far hotelnya nyaman, tersedia meeting room untuk kapasitas bervariasi. Makanannya enak. Recommended,  Lokasi strategis mudah ditemukan, parkir luas. Makanan enak dan bervariasi menunya. Ruang pertemuan yang luas. Kamar nyaman untuk berisitirahat. Hotel bergaya klasik,  cm parkir mobilnya aj yang kurang luas, Mungkin yang agak minus adalah akses ke tempat parkir basement yang harus muter dikit lewat tangga, Tempatnya nyaman, parkir luas, makan di restonya juga oke, lahan parkir memadai jumlahnya",19.jpg
CEO SUITE Indonesia Stock Exchange,http://ceosuite.com,0215157777,Business center,10,5,106.8086519,-6.2239292,Yes,Yes,Yes,No,No,No,200000,30,Medium,Jl. Jend. Sudirman Kav 52-53. 17th Floor Indonesia Stock Exchange. Tower 2 Jakarta. RT.10/RW.7. Senayan. Kebayoran Baru. South Jakarta City. Jakarta 12190,Jakarta Selatan,"Penyedia ruang kantor yang luar biasa, layanan ramah, pelayanan yang diberikan sangat baik dan mencakup semua segi untuk start up berbisnis, letak yang strategis, memudahkan untuk meeting point mengembangkan bisnis, Service office terbaik yg pernah saya kunjungi...selain tempatnya strategis,pelayanan dari stafnya juga sangat bagus, Design kantor yang bagus dengan pelayanan yang ramah, lengkap, serta cepat tanggap menjadikan CEO SUITE pilihan tepat bagi pebisnis seperti saya, pelayanan nya cepat, harga nya juga nggak mahal, dan kantor nya kerenn, Servis office yang saya kunjungi yg terbaik dan Bagus",20.jpg
GoWork Lippo Mall Kemang - Coworking and Office Space,http://go-work.com,02139707888,Coworking space,1,5,106.8126131,-6.262181,Yes,Yes,No,Yes,No,No,130000,10,Small,Marketing Gallery LMK. Kemang Village. GoWork. Jl. Pangeran Antasari No.36. Bangka. Kec. Mampang Prpt.. Daerah Khusus Ibukota Jakarta 12150,Jakarta Selatan,"Lahan parkir mobil dan motor ada,   Tempat yang cozy buat nongkrong, kerja dan juga meeting,  Bertempat di gedung yng lokasinya strategis, arsitektur dan interiornya modern, fun, artisti, simplicity dan elegan menjadikan GoWork Kemang 10 ini terasa mengasyikkan, lokasi mudah dijangkau, tempatnya nyaman dan bersih, stafnya ramah dan sangat membantu, menyenangkan. terima kasih, terasa seperti di rumah",21.jpg
CoHive 101 Mega Kuningan,http://cohive.space,02150820861,Coworking space,1052,4.6,106.8253118,-6.226179,Yes,Yes,No,No,No,No,99000,20,Medium,Kawasan. Jl. Mega Kuningan Barat No.1. RT.5/RW.2. Kuningan. Kuningan Tim.. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12950,Jakarta Selatan,"Murah , bersih, fasilitas lengkap..parkir luas, Tempatnya bersih, enak parkir & ada resto koi nya, okasi yang strategis, tempat yang nyaman, meskipun AC ruangannya terlalu dingin, Lokasi strategis dan sangat nyaman untuk meeting. Ditambah dengan staff CoHive yg juga sangat helpful, Kantor yang nyaman bersih dan bagus tapi sayang penjaga parkir apalagi yg perempuan TDK bersahabat dan terkesan sombong dan angkuh,saya baru sekali ke sana TDK ada kartu e money utk bayar parkir,tadi nya saya anggap sudah biasa pakai uang tunai, ternyata TDK bisa.lbh parah ya penjaga parkir TDK ada sopan santun ya untung saja dia perempuan kalau gak, Parkiran motor kacau balau, banyak emak-emak yang kerepotan mau masukin dan keluarin motor... mungkin karena parkir gratis jadi gak ada yang urus, Parkir motor karyawan murah, Tempatnya bersih, enak parkir & ada resto koi nya, Lokasi parkir Aman Dan Jangan lupa Emoney ya Nanti ga bs keluar, Ok...cuma parkir ny ribet g bisa cash",22.jpg
The Hermitage. a Tribute Portfolio Hotel. Jakarta,https://www.hermitagejakarta.com/id,02131926888,Meeting room,3660,4.6,106.8381196,-6.1983176,Yes,Yes,Yes,Yes,Yes,Yes,1375000,60,Large,Jl. Cilacap No.1. Menteng. Jakarta. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10310,Jakarta Pusat,"Makanan dan minuman yang disajikan sangat  berkelas dengan rasa yang mewah, Akses mudah buat meeting mudah meski parkir susah, Internet aman lancar, wifi cepat  Makanan enak.  Dan ruang meeting nyaman, Hotel yang bagus. Beberapa kali ke sini untuk meeting, kesannya bagus, keren, cuma parkir aja agak susah mesti titip kunci segala, parkir sempit, Utk area parkir lumayan cukup, ada di basement hotel dan ada akses langsung ke lobby pakai lift, parkir terbatas. apalagi lokasi dan parkir motornya sangat tidak friendly karena berada di ruang terbuka dan pinggir jalan raya, Cm susah parkir tp bs dibantu sm staff nya, cukup tinggalin kunci aja",23.jpg
TierSpace,http://tier-space.com,02129126145,Coworking space,145,4.6,106.8135623,-6.2331823,No,Yes,Yes,Yes,No,No,95000,8,Small,Jl. Bakti No.10. RT.1/RW.6. Rw.4. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12180,Jakarta Selatan,"Tempat yg pas untuk meeting, suasana membuat nyaman, Tempat Meeting...simple smart and Nice place, Tempat yang nyaman untuk bekerja, meeting & bermain, Internetnya juga cepat & stabil, mereka juga ada harga khusus mahasiswa. Mantap pokoknya, Harganya terjangkau dan banyak promonya. Fasilitas juga lengkap bisa refill kopi, teh dan air putih. Ada area outdoor yang bisa kerja sambil ngerokok, deket dengan area kuliner",24.jpg
GoWork Senayan City - Coworking and Office Space,http://go-work.com,02150986170,Coworking space,94,4.8,106.7976341,-6.2275834,Yes,Yes,No,Yes,No,No,130000,10,Small,Panin Tower. 15th Floor. Senayan City. Jl. Asia Afrika No.Lot. 19. Daerah Khusus Ibukota Jakarta 10270,Jakarta Pusat,"Survey area kerja, pelayanan ramah dan memberikan penjelasan dengan baik, Selain lokasinya yg strategis dan connecting mall, Staf2 GoWork Sency disini benar2 helpfull dan baikkkk sekaliii, bahkan kami pun berteman di luar jam kerja kantor..kantor disini juga bersih, nyaman , Tempatnya enak, teamnya juga ngebatu banget... Bersih juga dan engga berisik, Udah gitu Goworknya bisa nyambung ke mall Senayan city, Akses parkir juga gampang, Suhunya terlalu dingin padahal tidak terlalu ramai, Akses parkir juga gampang, ",25.jpg
Hotel Bidakara Meeting Room,http://www.bidakarahotel.com,02183793555,Meeting room,393,4.5,106.8420181,-6.2401633,Yes,Yes,Yes,Yes,No,No,1425000,70,Large,Jl. Gatot Subroto. RT.8/RW.8. Menteng Dalam. Kec. Tebet. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12870,Jakarta Selatan,"Hotelnya oke. Parkiran luas cm agak jauh dr hotel, Hotel dengan lokasi strategis dan lahan parkir yang luas. Cocok untuk kegiatan kantor dan transit untuk urusan bisnis, byk meeting room yg ditawarkan dengan harga yg kompetitif. ad mesjid di basement, foodcourt, minimart, kios jajanan, travel dll. komplit deh, real hotel, ruang meeting dan menara bidakara luas banget. Muter2 capek juga brow, Mantap tuk event2 tingkat nasional, Rakornas, seminar dll. Parkiran luas cm agak jauh dr hotel, lokasi strategis dan lahan parkir yang luas. Cocok untuk kegiatan kantor dan transit untuk urusan bisnis, parkir luas fasilitas pendukung bagus dan lokasi yg strategis, Parkir mobil terlalu mahal, Parkir luas",26.jpg
Paragon Meeting & Conference Room,https://paragon.co.id,0213917070,Event venue,43,4.3,106.830902,-6.187038,Yes,Yes,Yes,Yes,Yes,Yes,370000,60,Large,Jl. KH Wahid Hasyim No.31a. RT.18/RW.6. Kb. Sirih. Kec. Menteng. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10340,Jakarta Pusat,"sarana meeting yang lengkap..cocok deh buat pertemuan meeting dengan relasi bisnis, Bagus untuk meeting. Fasilitasnya saja yg harus diperbarui., sarana meeting yang lengkap..cocok deh buat pertemuan meeting dengan relasi bisnis, Bagus untuk meeting",27.jpg
Nusa Indah Meeting Room,http://millenniumhotels.com,0212303636,Meeting room,2,3,106.8166371,-6.1827335,Yes,Yes,Yes,Yes,Yes,Yes,4200000,100,Large,Millineum Hotel Sirih Jkt. Jl. H. Fachrudin No.3. RT.1/RW.7. Kp. Bali. Kecamatan Tanah Abang. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10250,Jakarta Pusat,"harga sangat mahal, 3 bintang dari 5",28.jpg
SQuare One (SQ) Function Hall & Meeting Rooms,https://squareonefunctionhall.com/,082122131088,Function room facility,11,4.8,106.7846396,-6.2941532,Yes,Yes,Yes,No,Yes,No,500000,15,Small,South Quarter. Jl. R.A. Kartini No.Kav. 8. RT.10/RW.4. West Cilandak. Cilandak. South Jakarta City. Jakarta 12430,Jakarta Selatan,"Tempatnya bagus sangat mendukung untuk meeting atau event lainnya, lokasi strategis dan penyewa sangat membantu, Ruangan luas, full AC, ada LED screen, kursinya banyak, ada tempat lokernya juga, soundnya bagus, Good place, cozy place, tempat oke",29.jpg
SAMOFIS | Coworking Space | Virtual Office | Meeting Room,http://samofis.com,02131904292,Office space rental agency,56,4.9,106.8373009,-6.1927443,Yes,Yes,No,Yes,No,No,100000,8,Small,Jl. Cikini IV No.10. RT.15/RW.5. Cikini. Kec. Menteng. Kota Jakarta Pusat. Daerah Khusus Ibukota Jakarta 10330,Jakarta Pusat,"Good place, tempatnya nyaman bersih dan wangi, pelayanannya ramah dan amanah, lokasi strategis berada di tengah kota deket mau kemana-mana, deket stasiun, warung makan, Aksesnya strategis, tempatnya nyaman, pelayanannya sangat ramah, kinerjanya cepat. Terimakasih SamOfi, Tempatnya strategis, tempatnya jg nyaman, spacenya lumayan luas, fasilitas jg lengkap dan managementnya jg helpfull",30.jpg
